date,date_start,date_end,date_middle,sample_size,satisfaction_government,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5,voting_vote,voting_prob_vote,voting_undecided,voting_not_vote,future_fianna_fail,future_fine_gael,future_labour,future_greens,future_sinn_fein,future_ind_oth,future_dont_know,past_fianna_fail,past_fine_gael,past_labour,past_greens,past_sinn_fein,past_ind_oth,past_dont_know
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Satisfied,1325,727,598,350,495,480,621,581,124,378,305,389,252,761,564,NA,NA,NA,1286,NA,16,20,114,701,143,60,31,123,153,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Dissatisfied,1662,758,904,521,677,463,585,968,109,442,457,486,276,1051,611,NA,NA,NA,1405,NA,84,162,235,360,135,257,30,157,488,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,No opinion,185,65,120,93,45,47,54,121,9,42,62,46,35,110,74,NA,NA,NA,163,NA,10,12,28,38,18,13,NA,28,59,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Satisfied,842,479,363,245,324,272,410,338,94,223,180,291,148,465,377,NA,NA,NA,776,NA,26,40,98,446,62,8,65,40,123,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Dissatisfied,2253,1034,1219,750,848,655,808,1310,135,625,598,605,425,1404,850,NA,NA,NA,1718,NA,185,343,247,240,148,34,496,289,799,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,No opinion,105,54,51,41,38,26,45,52,8,40,39,14,12,60,45,NA,NA,NA,75,NA,6,24,5,36,6,NA,4,14,40,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Satisfied,967,552,415,237,309,421,411,418,138,288,274,283,122,556,411,NA,NA,NA,894,94,3,54,123,455,74,26,24,48,217,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Dissatisfied,2139,978,1162,775,838,526,815,1215,109,575,536,618,410,1327,812,NA,NA,NA,1715,283,135,273,236,253,128,64,418,320,717,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,No opinion,199,105,95,84,75,40,103,92,3,77,33,35,54,135,64,NA,NA,NA,153,23,8,34,27,27,28,14,13,15,76,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Satisfied,1014,580,434,251,358,406,443,464,107,275,269,226,243,555,459,NA,NA,NA,922,66,15,77,106,499,108,14,40,48,199,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Dissatisfied,2095,944,1151,714,821,560,771,1177,147,600,539,639,316,1285,810,NA,NA,NA,1732,263,115,218,282,231,132,19,497,267,668,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,No opinion,163,62,101,89,57,18,84,79,NA,56,36,37,34,131,32,NA,NA,NA,125,21,2,30,14,57,22,NA,7,14,48,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Satisfied,957,583,374,288,406,264,417,434,107,234,255,305,159,517,440,297,338,322,879,123,31,47,135,419,63,9,50,133,147,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Dissatisfied,2231,982,1249,752,781,697,826,1277,127,663,537,599,428,1423,808,692,807,732,1834,323,141,247,315,143,59,53,498,559,604,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,No opinion,107,49,58,30,44,33,60,41,6,29,51,11,16,65,41,30,43,33,82,29,6,19,13,12,2,9,16,6,48,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Satisfied,946,539,407,270,339,337,404,457,85,205,252,325,164,516,429,310,384,253,844,84,51,50,100,433,72,14,76,120,130,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Dissatisfied,2308,1052,1256,794,861,652,846,1293,169,715,589,571,433,1423,885,704,794,810,1929,236,142,237,344,115,71,20,565,648,546,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,No opinion,65,37,28,45,13,6,41,24,NA,15,19,20,11,54,11,17,21,27,40,7,2,23,8,5,NA,NA,13,8,30,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Satisfied,959,515,444,248,373,338,498,380,82,357,225,171,206,620,339,187,346,427,892,99,35,19,110,431,94,15,63,89,157,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Dissatisfied,2056,991,1065,691,772,593,779,1149,127,497,548,664,348,1218,838,620,759,678,1759,222,151,111,339,138,73,23,405,611,467,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,No opinion,247,97,149,114,70,63,67,177,2,51,81,65,49,125,122,76,42,128,151,48,19,53,30,22,5,NA,25,37,128,NA,NA,NA,NA,NA,NA,NA
2015-07-18,2015-07-04,2015-07-14,2015-07-09,940,Satisfied,959,515,444,248,373,338,498,380,82,357,225,171,206,620,339,187,346,427,892,99,35,19,110,431,94,15,63,89,157,NA,NA,NA,NA,NA,NA,NA
2015-07-18,2015-07-04,2015-07-14,2015-07-09,940,Dissatisfied,2056,991,1065,691,772,593,779,1149,127,497,548,664,348,1218,838,620,759,678,1759,222,151,111,339,138,73,23,405,611,467,NA,NA,NA,NA,NA,NA,NA
2015-07-18,2015-07-04,2015-07-14,2015-07-09,940,No opinion,247,97,149,114,70,63,67,177,2,51,81,65,49,125,122,76,42,128,151,48,19,53,30,22,5,NA,25,37,128,NA,NA,NA,NA,NA,NA,NA
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Satisfied,966,510,456,271,363,332,464,384,118,316,223,264,162,599,366,226,367,373,926,119,11,27,114,495,57,20,57,78,144,NA,NA,NA,NA,NA,NA,NA
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Dissatisfied,1977,986,991,594,778,605,714,1172,90,548,551,512,365,1191,786,604,700,674,1682,256,122,126,359,83,49,25,425,518,519,NA,NA,NA,NA,NA,NA,NA
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,No opinion,301,111,190,171,77,53,136,161,4,49,85,90,78,155,146,132,39,130,198,38,22,57,47,31,15,2,17,20,168,NA,NA,NA,NA,NA,NA,NA
