date,date_start,date_end,date_middle,sample_size,satisfaction_government,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5,voting_vote,voting_prob_vote,voting_undecided,voting_not_vote,future_fianna_fail,future_fine_gael,future_labour,future_greens,future_sinn_fein,future_ind_oth,future_dont_know,past_fianna_fail,past_fine_gael,past_labour,past_greens,past_sinn_fein,past_ind_oth,past_dont_know
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Satisfied,0.42,0.47,0.37,0.36,0.41,0.48,0.49,0.35,0.51,0.44,0.37,0.42,0.45,0.4,0.45,NA,NA,NA,0.45,NA,0.15,0.1,0.3,0.64,0.48,0.18,NA,0.4,0.22,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Dissatisfied,0.52,0.49,0.56,0.54,0.56,0.47,0.46,0.58,0.45,0.51,0.55,0.53,0.49,0.55,0.49,NA,NA,NA,0.49,NA,0.76,0.84,0.62,0.33,0.46,0.78,NA,0.51,0.7,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,No opinion,0.06,0.04,0.07,0.1,0.04,0.05,0.04,0.07,0.04,0.05,0.08,0.05,0.06,0.06,0.06,NA,NA,NA,0.06,NA,0.09,0.06,0.07,0.03,0.06,0.04,NA,0.09,0.08,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Satisfied,0.26,0.31,0.22,0.24,0.27,0.29,0.32,0.2,0.4,0.25,0.22,0.32,0.25,0.24,0.3,NA,NA,NA,0.3,NA,0.12,0.1,0.28,0.62,0.29,NA,0.12,0.12,0.13,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Dissatisfied,0.7,0.66,0.75,0.72,0.7,0.69,0.64,0.77,0.57,0.7,0.73,0.66,0.73,0.73,0.67,NA,NA,NA,0.67,NA,0.85,0.84,0.71,0.33,0.69,NA,0.88,0.84,0.83,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,No opinion,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.05,0.05,0.02,0.02,0.03,0.04,NA,NA,NA,0.03,NA,0.03,0.06,0.01,0.05,0.03,NA,0.01,0.04,0.04,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Satisfied,0.29,0.34,0.25,0.22,0.25,0.43,0.31,0.24,0.55,0.31,0.33,0.3,0.21,0.28,0.32,NA,NA,NA,0.32,0.23,0.02,0.15,0.32,0.62,0.32,0.25,0.05,0.13,0.21,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Dissatisfied,0.65,0.6,0.69,0.71,0.69,0.53,0.61,0.7,0.44,0.61,0.64,0.66,0.7,0.66,0.63,NA,NA,NA,0.62,0.71,0.92,0.76,0.61,0.34,0.56,0.62,0.92,0.84,0.71,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,No opinion,0.06,0.06,0.06,0.08,0.06,0.04,0.08,0.05,0.01,0.08,0.04,0.04,0.09,0.07,0.05,NA,NA,NA,0.06,0.06,0.05,0.09,0.07,0.04,0.12,0.13,0.03,0.04,0.08,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Satisfied,0.31,0.37,0.26,0.24,0.29,0.41,0.34,0.27,NA,0.3,0.32,0.25,0.41,0.28,0.35,NA,NA,NA,0.33,0.19,0.11,0.24,0.26,0.63,0.41,NA,0.07,0.15,0.22,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,Dissatisfied,0.64,0.6,0.68,0.68,0.66,0.57,0.59,0.68,NA,0.64,0.64,0.71,0.53,0.65,0.62,NA,NA,NA,0.62,0.75,0.87,0.67,0.7,0.29,0.5,NA,0.91,0.81,0.73,NA,NA,NA,NA,NA,NA,NA
2012-05-23,2012-05-18,2012-05-23,2012-05-20,973,No opinion,0.05,0.04,0.06,0.08,0.05,0.02,0.06,0.05,NA,0.06,0.04,0.04,0.06,0.07,0.02,NA,NA,NA,0.04,0.06,0.02,0.09,0.03,0.07,0.08,NA,0.01,0.04,0.05,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Satisfied,0.29,0.36,0.22,0.27,0.33,0.27,0.32,0.25,0.45,0.25,0.3,0.33,0.26,0.26,0.34,0.29,0.28,0.3,0.31,0.26,0.17,0.15,0.29,0.73,0.51,0.13,0.09,0.19,0.18,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,Dissatisfied,0.68,0.61,0.74,0.7,0.63,0.7,0.63,0.73,0.53,0.72,0.64,0.65,0.71,0.71,0.63,0.68,0.68,0.67,0.66,0.68,0.79,0.79,0.68,0.25,0.48,0.75,0.88,0.8,0.76,NA,NA,NA,NA,NA,NA,NA
2014-10-25,2014-10-14,2014-10-22,2014-10-18,920,No opinion,0.03,0.03,0.03,0.03,0.04,0.03,0.05,0.02,0.03,0.03,0.06,0.01,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.06,0.03,0.06,0.03,0.02,0.02,0.13,0.03,0.01,0.06,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Satisfied,0.29,0.33,0.24,0.24,0.28,0.34,0.31,0.26,NA,0.22,0.29,0.35,0.27,0.26,0.32,0.3,0.32,0.23,0.3,0.26,0.26,0.16,0.22,0.78,NA,NA,0.12,0.15,0.18,NA,NA,NA,NA,NA,NA,NA
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,Dissatisfied,0.7,0.65,0.74,0.72,0.71,0.66,0.66,0.73,NA,0.76,0.68,0.62,0.71,0.71,0.67,0.68,0.66,0.74,0.69,0.72,0.73,0.76,0.76,0.21,NA,NA,0.86,0.84,0.77,NA,NA,NA,NA,NA,NA,NA
