date,date_start,date_end,date_middle,sample_size,leader_party,leader_name,satisfaction_leader,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5,voting_vote,voting_prob_vote,voting_undecided,voting_not_vote,future_fianna_fail,future_fine_gael,future_labour,future_greens,future_sinn_fein,future_ind_oth,future_dont_know,past_fianna_fail,past_fine_gael,past_labour,past_greens,past_sinn_fein,past_ind_oth,past_dont_know
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fine Gael,Enda Kenny,Satisfied,1982,991,990,594,729,659,808,1006,168,498,510,585,389,1140,841,NA,NA,NA,1877,NA,53,49,223,958,186,125,37,174,279,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fine Gael,Enda Kenny,Dissatisfied,1029,490,538,302,418,308,391,570,67,321,265,283,160,684,344,NA,NA,NA,838,NA,52,128,140,118,93,182,24,120,353,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fine Gael,Enda Kenny,No opinion,161,68,93,69,69,23,61,94,7,43,50,53,15,97,64,NA,NA,NA,139,NA,5,17,15,23,17,24,NA,13,69,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Labour,Joan Burton,Satisfied,1652,813,839,531,605,516,688,852,112,449,415,466,322,988,664,NA,NA,NA,1558,NA,38,53,191,723,201,105,39,143,250,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Labour,Joan Burton,Dissatisfied,1226,611,615,314,523,390,468,661,97,362,312,359,194,752,475,NA,NA,NA,1049,NA,57,109,153,274,86,191,16,142,365,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Labour,Joan Burton,No opinion,293,126,167,121,89,84,103,157,33,52,97,96,48,182,111,NA,NA,NA,248,NA,14,32,34,102,9,35,6,22,85,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fianna Fáil,Micheál Martin,Satisfied,1259,579,680,442,485,331,506,646,106,310,324,344,280,721,538,NA,NA,NA,1182,NA,33,41,255,414,138,105,29,103,215,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fianna Fáil,Micheál Martin,Dissatisfied,1565,796,769,423,587,555,625,835,105,430,433,460,243,993,572,NA,NA,NA,1368,NA,60,130,102,555,123,196,29,172,388,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fianna Fáil,Micheál Martin,No opinion,348,174,173,99,144,104,129,188,30,122,67,117,41,208,140,NA,NA,NA,304,NA,17,23,20,131,35,29,3,32,97,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Sinn Féin,Gerry Adams,Satisfied,1512,794,718,506,599,406,523,886,102,399,359,459,295,909,603,NA,NA,NA,1373,NA,56,80,207,487,114,272,40,127,265,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Sinn Féin,Gerry Adams,Dissatisfied,1164,547,617,303,438,423,549,508,107,321,337,311,194,703,461,NA,NA,NA,1056,NA,30,72,121,478,106,42,18,118,282,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Sinn Féin,Gerry Adams,No opinion,496,209,286,156,180,160,187,276,33,142,129,150,75,309,186,NA,NA,NA,426,NA,23,42,49,135,76,18,3,62,153,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Green Party,Eamon Ryan,Satisfied,1067,436,631,396,396,275,435,549,84,282,292,280,214,681,387,NA,NA,NA,1023,NA,10,35,140,410,95,94,47,101,180,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Green Party,Eamon Ryan,Dissatisfied,1497,818,679,418,589,490,583,802,112,406,368,451,271,844,653,NA,NA,NA,1306,NA,73,107,194,525,124,178,11,140,325,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Green Party,Eamon Ryan,No opinion,607,295,312,151,231,225,242,319,46,175,164,190,79,397,210,NA,NA,NA,526,NA,27,52,43,164,76,59,3,66,195,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Fine Gael,Enda Kenny,Satisfied,1298,727,571,394,472,431,558,624,115,353,341,386,217,766,531,NA,NA,NA,1154,NA,52,92,133,594,144,11,110,107,199,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Fine Gael,Enda Kenny,Dissatisfied,1777,788,989,588,699,490,668,1000,110,500,426,505,346,1092,685,NA,NA,NA,1357,NA,157,260,196,111,72,31,446,228,693,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Fine Gael,Enda Kenny,No opinion,126,52,74,55,40,31,38,76,12,35,50,19,22,70,55,NA,NA,NA,59,NA,8,55,22,16,NA,NA,9,8,71,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Labour,Joan Burton,Satisfied,1092,591,502,346,387,359,440,554,98,302,309,309,172,665,427,NA,NA,NA,963,NA,56,72,105,459,144,18,95,86,185,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Labour,Joan Burton,Dissatisfied,1904,889,1015,595,751,559,745,1023,136,534,429,561,381,1133,771,NA,NA,NA,1479,NA,141,283,225,242,68,15,447,241,667,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Labour,Joan Burton,No opinion,204,87,116,96,73,34,78,123,2,52,79,41,32,131,73,NA,NA,NA,127,NA,21,52,21,20,4,9,23,16,110,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Fianna Fáil,Micheál Martin,Satisfied,1051,542,509,346,357,349,397,570,84,297,275,284,196,645,406,NA,NA,NA,929,NA,51,70,227,300,87,16,153,77,190,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Fianna Fáil,Micheál Martin,Dissatisfied,1795,850,944,577,716,501,725,925,144,503,402,568,321,1077,717,NA,NA,NA,1387,NA,140,265,95,364,121,19,370,215,609,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Fianna Fáil,Micheál Martin,No opinion,355,175,180,114,138,103,141,205,8,88,140,58,68,207,148,NA,NA,NA,253,NA,26,72,29,57,8,7,41,51,163,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Sinn Féin,Gerry Adams,Satisfied,1485,821,664,541,568,377,528,849,108,378,405,488,214,938,547,NA,NA,NA,1251,NA,98,133,130,253,108,20,486,144,344,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Sinn Féin,Gerry Adams,Dissatisfied,1275,582,693,359,479,437,556,619,100,398,284,315,278,762,513,NA,NA,NA,997,NA,91,187,164,385,98,13,56,151,407,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Sinn Féin,Gerry Adams,No opinion,440,164,276,138,164,139,180,232,28,112,128,108,93,229,211,NA,NA,NA,322,NA,29,87,57,84,9,9,23,48,210,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Green Party,Eamon Ryan,Satisfied,793,381,411,368,271,154,320,417,55,182,240,259,112,523,270,NA,NA,NA,657,NA,42,94,111,190,63,37,145,75,171,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Green Party,Eamon Ryan,Dissatisfied,1621,827,794,507,643,472,657,852,112,486,343,444,349,961,660,NA,NA,NA,1271,NA,128,223,157,323,97,2,361,195,488,NA,NA,NA,NA,NA,NA,NA
2012-02-26,2012-02-15,2012-02-20,2012-02-17,914,Green Party,Eamon Ryan,No opinion,786,359,427,163,297,326,287,430,69,220,234,208,124,445,341,NA,NA,NA,642,NA,48,90,83,208,56,3,59,74,302,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Fine Gael,Enda Kenny,Satisfied,1562,834,728,429,561,572,652,752,157,451,390,479,242,945,616,NA,NA,NA,1392,183,45,102,171,633,130,50,109,117,351,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Fine Gael,Enda Kenny,Dissatisfied,1516,713,804,571,583,363,557,876,83,408,399,425,284,915,601,NA,NA,NA,1221,183,69,213,179,84,83,50,301,254,561,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Fine Gael,Enda Kenny,No opinion,228,88,139,98,79,52,121,98,9,81,54,33,59,158,70,NA,NA,NA,149,35,33,46,36,18,17,3,44,12,98,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Labour,Joan Burton,Satisfied,1210,640,570,306,436,468,484,603,124,332,302,409,167,702,508,NA,NA,NA,1096,147,39,64,109,501,135,34,101,78,252,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Labour,Joan Burton,Dissatisfied,1722,839,884,584,677,461,685,925,113,471,449,489,313,1052,670,NA,NA,NA,1416,190,79,214,237,183,78,54,313,271,581,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Labour,Joan Burton,No opinion,373,156,218,206,109,58,161,199,14,137,92,39,105,264,110,NA,NA,NA,251,64,28,83,39,50,17,16,41,34,177,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Fianna Fáil,Micheál Martin,Satisfied,1128,548,580,320,344,464,490,547,91,262,332,377,158,671,457,NA,NA,NA,1024,133,10,77,273,328,84,37,70,103,233,NA,NA,NA,NA,NA,NA,NA
2012-04-22,2012-04-11,2012-04-17,2012-04-14,946,Fianna Fáil,Micheál Martin,Dissatisfied,1655,830,825,560,719,376,624,902,129,482,396,457,321,986,669,NA,NA,NA,1332,193,93,219,103,320,105,48,294,234,547,NA,NA,NA,NA,NA,NA,NA
