date,date_start,date_end,date_middle,sample_size,leader_party,leader_name,satisfaction_leader,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5,voting_vote,voting_prob_vote,voting_undecided,voting_not_vote,future_fianna_fail,future_fine_gael,future_labour,future_greens,future_sinn_fein,future_ind_oth,future_dont_know,past_fianna_fail,past_fine_gael,past_labour,past_greens,past_sinn_fein,past_ind_oth,past_dont_know
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fine Gael,Enda Kenny,Satisfied,0.62,0.64,0.61,0.62,0.6,0.67,0.64,0.6,0.69,0.58,0.62,0.64,0.69,0.59,0.67,NA,NA,NA,0.66,NA,0.48,0.25,0.59,0.87,0.63,0.38,NA,0.57,0.4,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fine Gael,Enda Kenny,Dissatisfied,0.32,0.32,0.33,0.31,0.34,0.31,0.31,0.34,0.28,0.37,0.32,0.31,0.28,0.36,0.28,NA,NA,NA,0.29,NA,0.47,0.66,0.37,0.11,0.31,0.55,NA,0.39,0.5,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fine Gael,Enda Kenny,No opinion,0.05,0.04,0.06,0.07,0.06,0.02,0.05,0.06,0.03,0.05,0.06,0.06,0.03,0.05,0.05,NA,NA,NA,0.05,NA,0.05,0.09,0.04,0.02,0.06,0.07,NA,0.04,0.1,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Labour,Joan Burton,Satisfied,0.52,0.52,0.52,0.55,0.5,0.52,0.55,0.51,0.46,0.52,0.5,0.51,0.57,0.51,0.53,NA,NA,NA,0.55,NA,0.35,0.27,0.51,0.66,0.68,0.32,0.64,0.47,0.36,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Labour,Joan Burton,Dissatisfied,0.39,0.39,0.38,0.33,0.43,0.39,0.37,0.4,0.4,0.42,0.38,0.39,0.34,0.39,0.38,NA,NA,NA,0.37,NA,0.52,0.56,0.4,0.25,0.29,0.58,0.26,0.46,0.52,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Labour,Joan Burton,No opinion,0.09,0.08,0.1,0.13,0.07,0.08,0.08,0.09,0.14,0.06,0.12,0.1,0.09,0.09,0.09,NA,NA,NA,0.09,NA,0.13,0.16,0.09,0.09,0.03,0.11,0.1,0.07,0.12,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fianna Fáil,Micheál Martin,Satisfied,0.4,0.37,0.42,0.46,0.4,0.33,0.4,0.39,0.44,0.36,0.39,0.37,0.5,0.38,0.43,NA,NA,NA,0.41,NA,0.3,0.21,0.68,0.38,0.47,0.32,0.48,0.34,0.31,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fianna Fáil,Micheál Martin,Dissatisfied,0.49,0.51,0.47,0.44,0.48,0.56,0.5,0.5,0.44,0.5,0.53,0.5,0.43,0.52,0.46,NA,NA,NA,0.48,NA,0.55,0.67,0.27,0.5,0.42,0.59,0.48,0.56,0.55,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Fianna Fáil,Micheál Martin,No opinion,0.11,0.11,0.11,0.1,0.12,0.11,0.1,0.11,0.12,0.14,0.08,0.13,0.07,0.11,0.11,NA,NA,NA,0.11,NA,0.15,0.12,0.05,0.12,0.12,0.09,0.05,0.1,0.14,NA,NA,NA,NA,NA,NA,NA
2011-08-24,2011-08-16,2011-08-24,2011-08-20,1001,Sinn Féin,Gerry Adams,Satisfied,0.48,0.51,0.44,0.52,0.49,0.41,0.42,0.53,0.42,0.46,0.44,0.5,0.52,0.47,0.48,NA,NA,NA,0.48,NA,0.51,0.41,0.55,0.44,0.39,0.82,0.66,0.41,0.38,NA,NA,NA,NA,NA,NA,NA
