date,date_start,date_end,date_middle,sample_size,party,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,AAA,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0,0.05,0.03,0.01,0.03,0.02,0.04,0.02,0.03,0.04
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Fianna Fáil,0.2,0.18,0.23,0.25,0.13,0.24,0.16,0.23,0.19,0.09,0.19,0.29,0.24,0.17,0.25,0.24,0.17,0.19
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Fine Gael,0.27,0.25,0.3,0.22,0.25,0.33,0.31,0.18,0.66,0.22,0.28,0.32,0.27,0.26,0.29,0.26,0.28,0.28
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Green Party,0.02,0.02,0.02,0.02,0.04,0,0.04,0.01,0.03,0.04,0.01,0.02,0,0.02,0.02,0.01,0.03,0.01
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Independent Alliance,0.04,0.04,0.04,0.01,0.05,0.04,0.03,0.05,0,0.04,0.03,0.03,0.07,0.05,0.03,0.07,0.02,0.03
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Labour,0.06,0.05,0.06,0.04,0.07,0.05,0.07,0.05,0,0.1,0.06,0.03,0.01,0.07,0.03,0.03,0.04,0.1
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Other Independent Candidate,0.12,0.12,0.12,0.08,0.13,0.14,0.14,0.12,0,0.13,0.12,0.12,0.11,0.15,0.09,0.09,0.14,0.13
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,RENUA,0.02,0.04,0.01,0.03,0.02,0.03,0.03,0.02,0,0.04,0.01,0.02,0.04,0.02,0.03,0.03,0.02,0.02
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Sinn Féin,0.19,0.23,0.14,0.28,0.23,0.09,0.13,0.25,0.12,0.19,0.24,0.13,0.19,0.18,0.2,0.21,0.21,0.15
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Social Democrats,0.01,0.02,0.01,0.02,0,0.02,0.02,0.01,0,0.03,0,0.02,0,0.02,0,0.01,0.01,0.02
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Socialist Party,0.01,0,0.01,0,0.01,0,0,0.01,0,0.02,0,0,0,0.01,0,0,0.01,0
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Solidarity/PBP,0.01,0,0.02,0,0.02,0.01,0.01,0.02,0,0.02,0.02,0,0.01,0.01,0.01,0,0.02,0.02
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Workers Party,0.01,0.02,0.01,0.03,0.01,0.01,0.02,0.01,0,0.02,0,0.01,0.03,0.01,0.02,0.02,0.01,0.01
2015-10-18,2015-10-05,2015-10-14,2015-10-09,912,AAA,0.02,0.02,0.02,0,0.03,0.01,0.01,0.03,0,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.03
2015-10-18,2015-10-05,2015-10-14,2015-10-09,912,Fianna Fáil,0.19,0.2,0.18,0.17,0.15,0.25,0.19,0.17,0.35,0.12,0.16,0.24,0.26,0.13,0.29,0.24,0.19,0.16
2015-10-18,2015-10-05,2015-10-14,2015-10-09,912,Fine Gael,0.24,0.23,0.25,0.22,0.24,0.25,0.27,0.18,0.41,0.25,0.21,0.23,0.26,0.22,0.26,0.31,0.25,0.16
